Pair,Count,RowsInPairTable
"('model', 'train')",78,"[278, 577, 772, 858, 1113, 1688, 2318, 3395, 3490, 6305, 6600, 7441, 8548, 8666, 8683, 9346, 10412, 10419, 11129, 11384, 12418, 13834, 14136, 14409, 14410, 14465, 14474, 14624, 14758, 14796, 14826, 15246, 15288, 15576, 15682, 16417, 16606, 16722, 17057, 17497, 18076, 18187, 18189, 18198, 18221, 18250, 18352, 18487, 19214, 19251, 19301, 19427, 19541, 19566, 19568, 19654, 19777, 19779, 19877, 20109, 20110, 20418, 20426, 20436, 20564, 20656, 20702, 20848, 21408, 21542, 21697, 21816, 22296, 22616, 22619, 22672, 23149, 23249]"
"('model', 'have')",67,"[315, 934, 1196, 1239, 1717, 1825, 1901, 2147, 2306, 7219, 9290, 9995, 11557, 11567, 12364, 12623, 12677, 13777, 14419, 15349, 15829, 15872, 15898, 16085, 16503, 17061, 17086, 17113, 17237, 17273, 17347, 17352, 17362, 17684, 17862, 18127, 18437, 18539, 18898, 18959, 19053, 19089, 19112, 19150, 19260, 19342, 19365, 19408, 19965, 20051, 20148, 20153, 20154, 20725, 21030, 21721, 21729, 21734, 21768, 21986, 22064, 22252, 22264, 22278, 22887, 23055, 23088]"
"('agent', 'learn')",67,"[1615, 1619, 1620, 1634, 4362, 4491, 4503, 4522, 4538, 4708, 4837, 4950, 5500, 5631, 5703, 5704, 5712, 5725, 5746, 5768, 5772, 5800, 5842, 5864, 5959, 6062, 6084, 6085, 6160, 6167, 6190, 6225, 6247, 6736, 7592, 7593, 7724, 7732, 8118, 9621, 9638, 9732, 10171, 10230, 10231, 10282, 10291, 10298, 10318, 10970, 11205, 12058, 12121, 12190, 12218, 12238, 13205, 13216, 13225, 13236, 13301, 13361, 13596, 13601, 13669, 13687, 19930]"
"('figure', 'show')",65,"[167, 956, 2165, 2271, 2289, 2292, 2317, 2611, 2836, 4265, 4283, 4683, 5129, 5212, 5244, 5249, 5442, 5469, 5607, 5699, 5705, 6119, 6457, 6470, 7014, 7028, 7038, 7048, 7060, 7787, 7800, 7810, 7831, 7852, 8201, 8401, 8483, 8511, 8682, 8869, 9054, 9540, 10635, 10722, 10762, 10975, 11166, 11360, 12175, 12375, 12389, 13307, 13479, 15240, 16089, 18013, 18015, 18046, 19583, 19714, 20572, 20640, 20774, 21532, 23369]"
"('result', 'show')",54,"[1986, 2026, 3941, 4220, 4288, 4554, 4561, 4670, 5020, 5088, 5286, 5410, 5489, 5774, 7571, 8468, 9798, 10052, 10076, 10119, 10289, 10631, 10713, 10738, 11257, 11281, 11307, 11334, 11342, 11670, 11930, 13024, 13649, 13661, 13684, 13698, 13714, 13734, 14458, 14795, 15388, 15420, 15517, 15551, 15680, 17064, 18569, 18995, 19009, 19789, 19811, 19816, 20547, 21106]"
"('model', 'learn')",45,"[222, 601, 1066, 1084, 1437, 2226, 2390, 3036, 3041, 3426, 3536, 6321, 6483, 14983, 15896, 16015, 16069, 16772, 16778, 17421, 17771, 17869, 18088, 18192, 18211, 18337, 18629, 18851, 18858, 19128, 19569, 19950, 20034, 20041, 20089, 20412, 20442, 20445, 20570, 20772, 22995, 22997, 23001, 23139, 23217]"
"('model', 'achieve')",40,"[310, 348, 936, 1238, 1906, 1923, 2310, 3016, 5430, 5435, 6335, 6479, 10077, 11435, 12388, 12490, 12506, 12628, 12649, 15434, 15437, 15446, 15571, 17458, 17563, 18073, 18185, 18203, 18213, 18220, 18294, 18357, 20432, 20453, 20476, 20775, 23147, 23161, 23191, 23197]"
"('model', 'use')",40,"[313, 1368, 1921, 2285, 2868, 3044, 6354, 9200, 10161, 10397, 10527, 10535, 11008, 11052, 13451, 13705, 13706, 14276, 15254, 15582, 15992, 16053, 16617, 17264, 17383, 17544, 17646, 18033, 19098, 19103, 19115, 19138, 19482, 20159, 21406, 21415, 22307, 22362, 22424, 22620]"
"('model', 'perform')",33,"[1249, 2319, 3009, 3028, 3519, 6421, 6462, 11124, 14366, 14518, 15381, 15384, 15559, 15724, 16081, 16950, 17078, 18020, 18052, 18096, 18265, 18291, 18335, 18866, 19054, 19809, 19985, 20008, 21148, 21589, 21808, 22491, 23144]"
"('agent', 'have')",31,"[514, 4435, 4471, 4489, 4545, 4559, 4695, 5576, 5580, 5589, 5591, 5612, 5619, 5700, 5758, 5895, 5997, 6004, 6137, 6259, 8287, 9486, 10814, 10818, 10847, 10848, 11216, 13268, 13402, 13417, 19683]"
